Sample;Frequency (GHz);LG (mV) mean;HG (mV) mean;LG (mV) std deviation;HG (mV) std deviation;LG (mV) variance;HG (mV) variance;Thickness (mm)
E1;540;-0.005778251;9.840294673;0.882719031;7.619593492;0.779192889;58.05820499;0.1
E1;550;0.030670478;15.34108713;0.905797899;7.860544257;0.820469835;61.78815601;0.1
E1;560;-0.02020857;10.62224734;0.909412349;7.589663406;0.82703082;57.60299062;0.1
E1;570;0.007363111;9.753753506;0.886571092;7.635727821;0.786008302;58.30433936;0.1
E1;580;0.033184371;12.52876241;0.899567849;7.659671138;0.809222314;58.67056195;0.1
E1;590;0.013372583;10.09609674;0.88034001;7.624099771;0.774998533;58.12689732;0.1
E1;600;-0.005515788;11.83790931;0.881591109;7.772165641;0.777202884;60.40655875;0.1
E2;100;91.16264014;0.010814234;31.72136553;0.721516019;1006.245031;0.520585366;0.2
E2;110;37.39020363;-0.017701819;24.53029415;0.727678313;601.7353313;0.529515727;0.2
E2;120;92.59965812;-0.026200311;23.65870945;0.747290336;559.7345328;0.558442847;0.2
E2;130;30.64683668;-0.005293467;7.712545505;0.74669478;59.48335816;0.557553094;0.2
E2;140;71.88742295;-0.010876094;13.09937682;0.765618375;171.5936731;0.586171497;0.2
E2;150;69.41866389;-0.02946563;8.901653258;0.75063774;79.23943073;0.563457017;0.2
E2;160;29.29402156;-0.034847359;1.7783147;0.740790458;3.162403172;0.548770502;0.2
E2;170;9.580564508;0.048762002;4.110767563;0.743731284;16.89840996;0.553136223;0.2
E2;180;16.35166126;-0.008918939;5.895403184;0.752625414;34.7557787;0.566445013;0.2
E2;190;11.29525637;-0.016497372;2.151832206;0.733193249;4.630381843;0.537572341;0.2
E2;200;3.952771298;0.208113553;3.102046444;0.771012893;9.622692139;0.594460881;0.2
E2;210;1.461013256;7.325437859;3.596431488;7.214368596;12.93431945;52.04711425;0.2
E2;220;3.081498179;52.64637314;1.655869732;107.4585257;2.741904571;11547.33474;0.2
E2;230;3.122178569;0.107283828;1.03093601;0.781207031;1.062829056;0.610284425;0.2
E2;240;2.244834476;45.85265387;1.333631632;72.2566251;1.778573329;5221.019871;0.2
E2;250;1.414163514;408.8974675;1.006102601;38.18739148;1.012242444;1458.276868;0.2
E2;260;5.16363623;0.069997242;1.165970653;0.785131415;1.359487565;0.616431339;0.2
E2;270;1.768416607;0.060904303;1.038712589;0.781767515;1.078923843;0.611160447;0.2
E2;280;2.052496429;0.007049862;1.02531724;0.775062095;1.051275442;0.600721251;0.2
E2;290;1.780177294;-0.006746168;0.994192199;0.779474337;0.988418128;0.607580241;0.2
E2;300;1.753181048;0.032686002;1.030560325;0.773329725;1.062054583;0.598038864;0.2
E2;310;1.116162867;477.4703594;0.94150664;107.9026753;0.886434753;11642.98733;0.2
E2;320;1.21820063;382.3051312;1.100032815;152.904315;1.210072193;23379.72954;0.2
E2;330;0.895721556;725.7279548;0.991626687;43.11753373;0.983323487;1859.121715;0.2
E2;340;0.36824678;290.749212;0.950822353;16.01159981;0.904063147;256.3713286;0.2
E2;350;0.398381254;355.5768114;0.962137082;22.05194637;0.925707764;486.2883389;0.2
E2;360;0.461267391;367.7545034;1.011315947;14.17032265;1.022759945;200.7980441;0.2
E2;370;0.278761882;229.4079541;0.972569745;13.2663226;0.945891909;175.9953153;0.2
E2;380;0.202084175;215.6163992;0.995442073;9.76958269;0.990904921;95.44474593;0.2
E2;390;0.427904166;332.1660192;0.901594867;26.39096357;0.812873304;696.4829583;0.2
E2;400;0.237440077;193.25325;0.987388429;12.02801667;0.97493591;144.673185;0.2
E2;410;0.158891459;127.2980453;0.943022651;8.742035582;0.889291721;76.42318612;0.2
E2;420;0.085401042;72.84705544;0.946204739;9.32988013;0.895303408;87.04666324;0.2
E2;430;0.100467176;78.50298155;0.978144759;8.646560218;0.95676717;74.76300361;0.2
E2;440;0.086890876;91.4142564;0.982124734;10.39954336;0.964568993;108.1505021;0.2
E2;450;0.068672934;60.01792271;0.983578863;8.521323011;0.96742738;72.61294586;0.2
E2;460;0.065401392;56.98854115;0.912547876;9.122410649;0.832743627;83.21837604;0.2
E2;470;0.046958856;37.73343369;0.951401242;7.733934975;0.905164324;59.8137502;0.2
E2;480;0.0176584;32.67457405;0.91490309;7.85430682;0.837047664;61.69013562;0.2
E2;490;0.038242609;31.26514584;0.913143136;7.858692417;0.833830387;61.7590465;0.2
E2;500;0.046983002;36.34225425;0.896928413;8.868963188;0.804480577;78.65850803;0.2
E2;510;0.012478426;13.2436835;0.894906528;7.356391959;0.800857693;54.11650266;0.2
E2;520;0.011367777;18.58908224;0.922876036;7.50784604;0.851700179;56.36775216;0.2
E2;530;0.021980042;22.6714906;0.902642639;7.589872369;0.814763734;57.60616258;0.2
E2;540;-0.01708722;10.62738429;0.887867911;7.408336265;0.788309428;54.88344622;0.2
E2;550;0.000240087;9.55878006;0.877906451;7.544496919;0.770719737;56.91943376;0.2
E2;560;0.023222078;8.611249681;0.883452615;7.548255875;0.780488523;56.97616675;0.2
E2;570;0.038997233;8.711185892;0.900575178;7.506339502;0.811035651;56.34513273;0.2
E2;580;0.037803443;10.23323195;0.856711632;7.38845175;0.733954821;54.58921926;0.2
E2;590;0.046662099;11.88546694;0.862903176;7.468046425;0.744601892;55.77171741;0.2
E2;600;0.025636974;8.669048297;0.867154947;7.494262386;0.751957701;56.16396871;0.2
E3;100;12.21357952;-0.022669704;2.071138297;0.764770527;4.289613846;0.58487396;0.1
E3;110;52.21244973;0.003689567;30.69146531;0.723885663;941.9660426;0.524010454;0.1
E3;120;95.19525496;-0.020725176;20.93674838;0.73369929;438.3474328;0.538314648;0.1
E3;130;39.34894077;-0.005462913;9.074996695;0.757821597;82.35556501;0.574293573;0.1
E3;140;71.33893442;-0.003045147;14.25615859;0.75598446;203.2380577;0.571512504;0.1
E3;150;65.04323925;-0.026949153;5.939187317;0.749415187;35.27394599;0.561623122;0.1
E3;160;29.16681214;-0.007492103;4.044106137;0.742810563;16.35479445;0.551767532;0.1
E3;170;9.21384055;0.080165857;4.125549518;0.75347261;17.02015882;0.567720974;0.1
E3;180;17.19884382;-0.008300176;2.817590078;0.773025459;7.93881385;0.59756836;0.1
E3;190;13.0304186;-0.018497833;2.759346042;0.768494359;7.61399058;0.59058358;0.1
E3;200;3.3421895;0.142996301;2.989469474;0.751073815;8.936927733;0.564111875;0.1
E3;210;12.11367807;-0.011260797;1.948457282;0.774984236;3.79648578;0.600600566;0.1
E3;220;4.967968789;0.24722736;1.056886196;0.751264548;1.117008431;0.56439842;0.1
E3;230;1.639982122;502.7653047;0.895674533;199.913566;0.802232869;39965.43386;0.1
E3;240;6.951716088;0.045822312;1.371766825;0.761323138;1.881744223;0.57961292;0.1
E3;250;1.590508889;129.1983963;0.927811822;112.684771;0.860834776;12697.85761;0.1
E3;260;5.117794277;0.109742598;1.053506263;0.752111115;1.109875446;0.565671129;0.1
E3;270;3.308639355;0.22375197;1.014479926;0.75800311;1.029169519;0.574568715;0.1
E3;280;3.229147949;0.192046568;1.00291927;0.77332344;1.005847063;0.598029143;0.1
E3;290;1.142959924;575.1915046;0.967612994;115.7636744;0.936274905;13401.22831;0.1
E3;300;2.548183109;0.158315658;1.037417992;0.785663927;1.07623609;0.617267806;0.1
E3;310;1.577859472;0.004148752;1.052425652;0.745172429;1.107599752;0.555281949;0.1
E3;320;1.35455321;41.79435258;1.018344165;51.96568676;1.037024838;2700.432601;0.1
E3;330;1.201558847;191.1038997;1.045648197;53.86678397;1.093380151;2901.630416;0.1
E3;340;0.908470387;759.6463668;1.029603692;41.37281644;1.060083763;1711.70994;0.1
E3;350;0.692368269;552.2177621;0.967594631;35.25843705;0.93623937;1243.157383;0.1
E3;360;0.638300658;537.2835823;1.062949511;25.69408446;1.129861662;660.1859763;0.1
E3;370;0.411084723;351.1554932;0.910958997;17.28225553;0.829846295;298.6763562;0.1
E3;380;0.476521029;395.7089573;0.975885725;15.40096232;0.952352949;237.1896403;0.1
E3;390;0.448793777;369.9678082;0.911083424;27.99161688;0.830073006;783.5306155;0.1
E3;400;0.302409648;268.0113615;0.918905235;16.81439893;0.844386832;282.7240113;0.1
E3;410;0.292549932;246.6644077;0.937248415;21.64486583;0.878434592;468.5002169;0.1
E3;420;0.15923297;138.5135169;0.936997359;14.31490098;0.877964051;204.91639;0.1
