Frequency (GHz);LG (mV);HG (mV)
100.0;-0.854596;32.596752
100.0;0.24417;12.330607
100.0;-0.122085;41.020632
100.0;-0.366256;15.871078
100.0;0.0;31.62007
100.0;0.610426;52.740812
100.0;-0.24417;27.957514
100.0;-0.122085;42.241484
100.0;-1.220852;20.388231
100.0;0.976682;42.363569
100.0;0.854596;32.474667
100.0;0.854596;36.503479
100.0;0.24417;39.79978
100.0;2.197534;27.102917
100.0;-2.197534;36.503479
100.0;1.587108;32.352582
100.0;0.366256;43.950677
100.0;-0.854596;29.910877
100.0;-1.342937;37.602246
100.0;0.366256;40.288121
100.0;0.122085;26.004151
100.0;1.098767;36.869735
100.0;-1.220852;23.928702
100.0;1.465023;42.973995
100.0;-1.342937;38.823098
100.0;0.122085;39.189354
100.0;1.953363;35.038456
100.0;0.854596;22.70785
100.0;-0.610426;34.18386
100.0;0.122085;13.917714
100.0;0.488341;41.264802
100.0;0.366256;25.149554
100.0;-0.488341;38.701013
100.0;0.24417;44.927359
100.0;0.122085;23.806617
100.0;-0.976682;26.004151
100.0;0.122085;10.865584
100.0;-0.24417;47.491148
100.0;0.854596;37.113905
100.0;1.098767;36.869735
100.0;0.854596;49.566597
100.0;-2.197534;35.526797
100.0;-0.732511;40.532291
100.0;-0.366256;18.801123
100.0;-0.488341;41.386887
100.0;0.488341;31.3759
100.0;1.220852;46.148211
100.0;-0.24417;34.061775
100.0;0.366256;39.79978
100.0;-0.24417;41.631058
100.0;-0.366256;39.189354
100.0;1.342937;37.358075
100.0;0.122085;22.463679
100.0;0.366256;36.015138
100.0;-0.854596;24.661213
100.0;0.366256;35.648882
100.0;0.24417;49.200341
100.0;-0.488341;29.666707
100.0;-0.366256;30.155048
100.0;0.854596;14.772311
100.0;0.366256;36.503479
100.0;0.976682;20.998657
100.0;0.366256;39.067268
100.0;0.366256;44.439018
100.0;0.610426;29.666707
100.0;-0.732511;41.508973
100.0;-0.366256;19.533634
100.0;-0.366256;35.770968
100.0;0.366256;38.456842
100.0;-1.342937;35.648882
100.0;-0.488341;37.968501
100.0;-0.488341;31.009644
100.0;-0.488341;42.85191
100.0;-0.488341;15.748993
100.0;-0.24417;39.067268
100.0;0.854596;27.347088
100.0;-0.732511;35.038456
100.0;1.465023;36.137223
100.0;-1.953363;20.388231
100.0;-0.976682;40.654376
100.0;-0.122085;16.359419
100.0;-0.732511;39.067268
100.0;-0.732511;45.171529
100.0;-0.854596;32.474667
100.0;0.610426;30.521303
100.0;0.610426;18.190697
100.0;0.488341;40.410206
100.0;0.0;21.975338
100.0;1.342937;43.828592
100.0;0.122085;43.09608
100.0;-0.366256;16.237333
100.0;-0.732511;28.079599
100.0;-0.854596;23.928702
100.0;-1.342937;38.212672
100.0;2.319619;18.312782
100.0;-1.342937;34.794286
100.0;-0.976682;39.677694
100.0;-1.709193;29.788792
100.0;-0.610426;30.399218
100.0;-1.098767;26.492491
100.0;0.488341;29.788792
100.0;-0.610426;22.95202
100.0;0.24417;43.09608
100.0;1.831278;25.149554
100.0;0.854596;38.823098
100.0;-0.976682;10.377243
100.0;-1.465023;36.625564
100.0;-0.854596;15.504822
100.0;0.488341;44.805273
100.0;0.488341;17.824441
100.0;0.24417;42.973995
100.0;0.732511;46.636552
100.0;-0.610426;35.038456
100.0;-0.976682;38.823098
100.0;-0.24417;20.14406
100.0;-0.122085;46.636552
100.0;-0.488341;32.963008
100.0;-0.366256;39.555609
100.0;-1.098767;30.277133
100.0;0.366256;33.939689
100.0;-1.220852;19.655719
100.0;1.587108;42.85191
100.0;-0.122085;45.537785
100.0;0.488341;30.399218
100.0;-0.366256;36.381394
100.0;-0.854596;34.794286
100.0;-0.366256;40.532291
100.0;-0.366256;26.126236
100.0;0.24417;36.503479
100.0;-2.319619;10.865584
100.0;0.732511;47.246978
100.0;0.610426;41.386887
100.0;-0.854596;30.521303
100.0;1.953363;38.945183
100.0;-0.732511;27.469173
100.0;-0.122085;39.79978
100.0;-0.24417;24.294958
100.0;-0.610426;30.887559
100.0;0.122085;47.369063
100.0;-0.610426;33.207178
100.0;0.0;40.654376
100.0;-0.488341;17.946526
100.0;0.24417;45.537785
100.0;-0.366256;25.75998
100.0;1.709193;36.381394
100.0;-1.220852;41.386887
100.0;0.610426;13.551459
100.0;0.488341;34.305945
100.0;0.366256;18.434867
100.0;0.122085;46.880722
100.0;-0.488341;44.072762
100.0;0.610426;32.840922
100.0;-0.488341;34.18386
100.0;-0.122085;22.463679
100.0;0.0;36.99182
100.0;-1.098767;27.713344
100.0;1.220852;38.334757
100.0;0.0;46.758637
100.0;0.122085;30.155048
100.0;1.342937;33.207178
100.0;-0.488341;29.056281
100.0;-0.24417;43.462336
100.0;0.488341;14.894396
100.0;0.854596;35.893053
100.0;-0.24417;31.864241
100.0;0.0;38.456842
100.0;1.098767;46.514466
100.0;0.854596;19.777805
100.0;-0.976682;33.817604
100.0;0.122085;22.341594
100.0;0.732511;35.404712
100.0;-1.587108;19.289464
100.0;0.122085;46.880722
100.0;0.0;41.753143
100.0;-1.098767;38.701013
100.0;1.587108;38.212672
100.0;-2.563789;21.853253
100.0;-0.488341;40.410206
100.0;-0.732511;29.910877
100.0;0.610426;41.753143
100.0;0.732511;44.439018
100.0;1.465023;30.643389
