Frequency (GHz);LG (mV);HG (mV)
100.0;0.122085;43.584421
100.0;0.732511;40.532291
100.0;-0.24417;43.09608
100.0;-0.732511;50.421193
100.0;0.976682;37.480161
100.0;-0.976682;44.927359
100.0;-0.122085;30.521303
100.0;-0.610426;34.672201
100.0;-0.610426;21.853253
100.0;0.24417;44.805273
100.0;-0.854596;25.51581
100.0;-0.122085;45.90404
100.0;-0.854596;38.823098
100.0;0.854596;47.979489
100.0;0.488341;45.171529
100.0;-1.098767;39.311439
100.0;0.488341;53.229153
100.0;0.366256;28.81211
100.0;0.854596;36.259308
100.0;1.709193;20.388231
100.0;0.122085;38.456842
100.0;-0.24417;26.858747
100.0;-1.098767;46.392381
100.0;0.732511;26.980832
100.0;-0.854596;38.823098
100.0;0.24417;50.909534
100.0;-0.24417;39.677694
100.0;-0.854596;38.212672
100.0;0.488341;30.643389
100.0;0.366256;45.049444
100.0;-1.342937;28.201684
100.0;1.587108;39.067268
100.0;-0.366256;17.946526
100.0;-0.24417;47.613233
100.0;-1.220852;22.95202
100.0;1.587108;43.218166
100.0;1.342937;18.068612
100.0;1.465023;46.270296
100.0;0.976682;31.009644
100.0;0.732511;45.65987
100.0;-0.366256;28.934196
100.0;1.342937;42.729825
100.0;-0.366256;45.781955
100.0;-1.953363;34.794286
100.0;1.465023;41.508973
100.0;0.0;16.603589
100.0;-0.488341;41.997313
100.0;0.488341;20.021975
100.0;0.610426;55.426687
100.0;-1.587108;25.149554
100.0;0.0;50.543278
100.0;0.610426;45.293614
100.0;-0.122085;42.485654
100.0;1.220852;47.124892
100.0;-1.831278;41.997313
100.0;-0.732511;47.246978
100.0;-0.122085;34.916371
100.0;-0.122085;40.410206
100.0;-2.197534;23.440361
100.0;-1.098767;41.997313
100.0;-0.122085;22.829935
100.0;0.732511;39.79978
100.0;-0.488341;21.975338
100.0;-1.098767;52.252471
100.0;-0.122085;15.748993
100.0;-0.610426;44.072762
100.0;0.976682;42.60774
100.0;-0.122085;42.85191
100.0;-0.732511;51.27579
100.0;-0.488341;32.352582
100.0;-0.24417;43.584421
100.0;1.342937;31.009644
100.0;2.075449;45.415699
100.0;-0.488341;21.853253
100.0;0.122085;50.909534
100.0;1.342937;24.539128
100.0;-0.122085;49.444512
100.0;0.0;41.508973
100.0;0.488341;41.020632
100.0;0.610426;49.566597
100.0;0.976682;37.724331
100.0;-0.488341;48.223659
100.0;0.854596;36.137223
100.0;0.366256;40.532291
100.0;0.0;19.167379
100.0;-0.366256;32.352582
100.0;-0.366256;15.626907
100.0;0.732511;33.817604
100.0;0.366256;24.905384
100.0;-1.342937;33.939689
100.0;-0.24417;22.219509
100.0;-1.342937;44.805273
100.0;-0.610426;23.196191
100.0;-0.366256;43.218166
100.0;-0.122085;47.246978
100.0;0.732511;46.392381
100.0;-0.122085;41.386887
100.0;0.0;25.51581
100.0;0.0;40.898547
100.0;0.0;22.097424
100.0;-0.610426;32.963008
100.0;-0.24417;18.923208
100.0;0.0;40.04395
100.0;-0.488341;20.876572
100.0;-0.488341;46.514466
100.0;1.342937;34.18386
100.0;-0.732511;31.742156
100.0;-1.220852;28.56794
100.0;0.24417;51.397875
100.0;-0.366256;41.142717
100.0;0.122085;46.636552
100.0;-0.854596;41.631058
100.0;-1.587108;36.869735
100.0;-0.854596;43.706506
100.0;-0.732511;26.004151
100.0;0.122085;32.230496
100.0;0.366256;27.469173
100.0;1.709193;35.160542
100.0;-0.24417;25.393724
100.0;0.854596;42.729825
100.0;-0.24417;54.938346
100.0;0.0;37.724331
100.0;0.366256;40.654376
100.0;-0.488341;18.923208
100.0;-0.24417;35.526797
100.0;-0.24417;19.411549
100.0;0.366256;47.246978
100.0;-0.366256;26.370406
100.0;-0.24417;47.491148
100.0;-0.854596;42.973995
100.0;0.366256;27.225003
100.0;0.610426;38.212672
100.0;-0.366256;26.736662
100.0;0.24417;46.148211
100.0;-0.122085;30.399218
100.0;0.122085;37.968501
100.0;0.122085;34.672201
100.0;0.732511;43.340251
100.0;0.610426;26.248321
100.0;0.122085;39.555609
100.0;1.220852;48.589915
100.0;-0.976682;29.788792
100.0;0.488341;34.550115
100.0;-1.220852;22.463679
100.0;-1.465023;34.794286
100.0;-0.24417;17.580271
100.0;-1.465023;47.002807
100.0;0.0;17.824441
100.0;0.610426;42.119399
100.0;-0.610426;21.486998
100.0;1.465023;43.706506
100.0;-0.732511;21.120742
100.0;-0.24417;38.578928
100.0;0.732511;22.463679
100.0;-0.610426;48.956171
100.0;-1.465023;31.742156
100.0;0.488341;43.584421
100.0;0.0;53.229153
