Frequency (GHz);LG (mV);HG (mV)
100.0;-0.366256;38.823098
100.0;1.098767;45.90404
100.0;0.732511;49.566597
100.0;0.854596;35.282627
100.0;-1.342937;45.781955
100.0;-0.488341;30.643389
100.0;-0.122085;41.386887
100.0;-0.366256;18.679038
100.0;1.342937;44.561103
100.0;-0.122085;25.882065
100.0;1.098767;43.584421
100.0;2.197534;20.021975
100.0;0.488341;36.869735
100.0;-2.80796;31.497985
100.0;0.366256;42.241484
100.0;-0.24417;33.085093
100.0;0.610426;39.189354
100.0;1.831278;23.562446
100.0;0.488341;33.329263
100.0;-0.24417;27.102917
100.0;-0.488341;31.131729
100.0;1.098767;25.271639
100.0;0.122085;38.701013
100.0;-1.220852;18.068612
100.0;1.342937;45.293614
100.0;0.0;39.311439
100.0;-1.342937;44.194847
100.0;0.976682;42.60774
100.0;-0.366256;26.004151
100.0;0.732511;41.020632
100.0;0.366256;29.300451
100.0;-0.610426;41.020632
100.0;-0.366256;23.318276
100.0;-0.610426;39.921865
100.0;-0.610426;25.882065
100.0;-1.587108;41.753143
100.0;0.854596;52.862898
100.0;0.488341;34.672201
100.0;1.465023;44.561103
100.0;0.488341;29.422536
100.0;0.854596;43.09608
100.0;-1.098767;27.225003
100.0;-1.953363;31.62007
100.0;0.610426;18.679038
100.0;0.366256;41.386887
100.0;0.24417;31.62007
100.0;0.610426;40.04395
100.0;-0.488341;36.137223
100.0;0.854596;28.81211
100.0;-0.976682;39.311439
100.0;0.366256;20.021975
100.0;0.366256;39.189354
100.0;0.366256;18.923208
100.0;0.366256;44.194847
100.0;-0.976682;41.875228
100.0;0.610426;37.358075
100.0;-0.732511;44.316933
100.0;-0.610426;45.293614
100.0;-0.488341;29.422536
100.0;0.976682;44.927359
100.0;0.854596;38.456842
100.0;0.488341;15.626907
100.0;-0.488341;38.945183
100.0;0.0;32.840922
100.0;-0.732511;41.753143
100.0;-0.732511;12.452692
100.0;0.732511;39.067268
100.0;-0.24417;30.887559
100.0;0.0;46.148211
100.0;-0.366256;26.614577
100.0;0.976682;46.514466
100.0;-0.366256;22.463679
100.0;0.732511;40.410206
100.0;-0.976682;24.417043
100.0;0.366256;37.968501
100.0;-1.709193;25.027469
100.0;0.732511;43.584421
100.0;0.0;30.887559
100.0;0.24417;43.340251
100.0;0.0;49.688682
100.0;-1.587108;45.415699
100.0;-0.732511;47.857404
100.0;0.488341;33.451349
100.0;0.610426;47.613233
100.0;0.976682;20.998657
100.0;0.0;40.288121
100.0;-1.098767;19.167379
100.0;0.976682;41.020632
100.0;-0.976682;19.289464
100.0;0.366256;46.026126
100.0;-2.685875;43.340251
100.0;-1.220852;38.334757
100.0;-0.122085;45.415699
100.0;-0.24417;35.160542
100.0;-0.488341;41.386887
100.0;-0.732511;26.492491
100.0;-0.122085;40.898547
100.0;-0.24417;20.388231
100.0;-0.366256;48.101574
100.0;0.854596;26.492491
100.0;0.122085;43.462336
100.0;-0.24417;38.212672
100.0;1.831278;44.927359
100.0;-1.098767;45.65987
100.0;0.0;36.259308
100.0;-0.732511;40.654376
100.0;0.488341;33.939689
100.0;-0.366256;48.46783
100.0;-0.24417;27.225003
100.0;-1.465023;22.585765
100.0;-0.610426;46.636552
100.0;-0.976682;17.702356
100.0;0.610426;47.002807
100.0;-1.465023;28.934196
100.0;0.732511;46.514466
100.0;0.488341;36.259308
100.0;-0.122085;47.613233
100.0;-0.24417;29.422536
100.0;-0.610426;44.194847
100.0;-0.24417;47.491148
100.0;-1.342937;30.887559
100.0;-2.075449;45.90404
100.0;0.0;15.748993
100.0;2.075449;38.334757
100.0;1.953363;24.294958
100.0;0.122085;45.049444
100.0;-0.610426;35.404712
100.0;-0.366256;43.218166
100.0;-0.854596;32.230496
100.0;0.0;48.223659
100.0;-1.342937;21.975338
100.0;0.366256;44.805273
100.0;-0.488341;23.318276
100.0;0.854596;44.927359
100.0;2.197534;33.573434
100.0;-0.488341;44.683188
100.0;0.366256;46.514466
100.0;1.709193;37.724331
100.0;-0.732511;41.020632
100.0;0.854596;49.932852
100.0;-1.098767;47.369063
100.0;-0.610426;37.602246
100.0;-0.732511;43.09608
100.0;0.488341;30.521303
100.0;1.220852;39.79978
100.0;0.366256;29.300451
100.0;0.854596;40.166035
100.0;0.854596;28.445855
100.0;-1.098767;40.532291
100.0;0.976682;25.149554
100.0;-0.122085;37.113905
100.0;-1.220852;23.684531
100.0;0.0;40.410206
100.0;-0.854596;29.422536
100.0;0.0;44.072762
100.0;0.488341;44.439018
100.0;-0.976682;46.026126
100.0;-0.122085;29.422536
100.0;-0.122085;49.810767
100.0;-0.488341;49.444512
100.0;-0.24417;18.556952
100.0;0.122085;43.340251
100.0;-0.122085;25.637895
100.0;-0.976682;43.462336
100.0;0.24417;32.718837
100.0;-0.976682;41.386887
100.0;0.0;49.688682
100.0;-1.587108;47.124892
100.0;2.563789;48.712
