Sample;Frequency (GHz);LG (mV);HG (mV);Thickness (mm)
H1;100;93.395188;-0.244093;0.07
H1;100;94.860213;-0.366259;0.07
H1;100;37.480161;-1.587057;0.07
H1;100;36.503479;0.488329;0.07
H1;100;26.980832;0.366235;0.07
H1;100;37.113905;0.12207;0.07
H1;100;94.73813;0.244141;0.07
H1;100;89.732632;0;0.07
H1;100;53.35124;1.342916;0.07
H1;100;63.240142;0.488305;0.07
H1;100;127.701139;-0.366211;0.07
H1;100;22.585765;0;0.07
H1;100;46.514466;0.97661;0.07
H1;100;95.348556;0.610423;0.07
H1;100;100.598216;-0.244212;0.07
H1;100;73.006959;0.244141;0.07
H1;100;105.847883;-0.244164;0.07
H1;100;89.000124;-0.244141;0.07
H1;100;55.304602;-1.587057;0.07
H1;100;91.685998;0.488353;0.07
H1;100;68.245634;1.0988;0.07
H1;100;47.124892;0.488329;0.07
H1;100;80.576243;-0.976706;0.07
H1;100;72.274449;-0.854611;0.07
H1;100;46.392381;0.244188;0.07
H1;100;38.456842;0.244164;0.07
H1;100;67.391038;0.244188;0.07
H1;100;92.784762;0.610399;0.07
H1;100;58.234647;-0.854588;0.07
H1;100;54.205835;-0.610447;0.07
H1;100;57.13588;-0.366235;0.07
H1;100;54.694177;0.488353;0.07
H1;100;46.514466;-0.488353;0.07
H1;100;101.330729;-0.488329;0.07
H1;100;78.378709;-0.610447;0.07
H1;100;58.845074;0.244141;0.07
H1;100;12.208523;-0.244212;0.07
H1;100;71.66402;-1.22087;0.07
H1;100;72.030278;0.610375;0.07
H1;100;72.030278;-0.732493;0.07
H1;100;57.624224;-0.366235;0.07
H1;100;39.189355;0.488257;0.07
H1;100;83.994627;0.488305;0.07
H1;100;72.640704;-0.244093;0.07
H1;100;68.856061;0.610423;0.07
H1;100;110.609207;0.244164;0.07
H1;100;39.921865;1.220846;0.07
H1;100;42.607741;0.244141;0.07
H1;100;29.422536;-0.244212;0.07
H1;100;65.193506;-1.587033;0.07
H1;100;72.884873;-0.610375;0.07
H1;100;42.851911;-0.854588;0.07
H1;100;125.015263;1.098776;0.07
H1;100;59.089245;0.488353;0.07
